User,veAEQ Balance at block 22721125,veAEQ % Owned,,Unlock Date (UTC),Lock last updated,,,
0xb69ec3f5f3e103f79cb14dba669fb24c7d1c9967,3000.852479,0.3821,,"Thu, 19 Oct 2023 00:00:00 GMT",Fri Oct 28 2022,,,
0xc12ca084236a042a658c28c894df95e3b80de125,2943.412566,0.3748,,"Thu, 12 Oct 2023 00:00:00 GMT",Tue Oct 18 2022,,,
0xa12be400f22c8cb89e29cd95a4031420374b5e8c,2680.831251,0.3414,,"Thu, 26 Oct 2023 00:00:00 GMT",Wed Oct 26 2022,,,
0xabcd018b36ea7a16fdb177f85988e156182046ca,2641.052623,0.3363,,"Thu, 26 Oct 2023 00:00:00 GMT",Wed Nov 02 2022,,,
0xb84a313fc5bb3d8dda31e6cf2b510539e6cd96c7,0,0,,"Thu, 12 Oct 2023 00:00:00 GMT",Wed Oct 12 2022,COSMO,2625.807694,0.3344
0xc48983f3400965a483cdfcfc4288f369bbbf9f20,0,0,,"Thu, 05 Oct 2023 00:00:00 GMT",Tue Oct 18 2022,CRYPZOM,2548.33136,0.3245
0x1b30f8ee9d7718b182bad677c06980e5a0668526,2527.604255,0.3219,,"Thu, 26 Oct 2023 00:00:00 GMT",Tue Nov 01 2022,,,
0x16d088a79d7d36213618263184783fb4d6375e33,2523.464101,0.3213,,"Thu, 19 Oct 2023 00:00:00 GMT",Fri Oct 21 2022,,,
0x11175a05d2cbdf6f823ef8f26be55773d80768fd,2379.718883,0.303,,"Thu, 31 Aug 2023 00:00:00 GMT",Wed Sep 14 2022,,,
0xf29fd03df2cb7f81d8ae4d10a76f8b1c898786bd,2322.537497,0.2958,,"Thu, 24 Aug 2023 00:00:00 GMT",Tue Sep 06 2022,,,
0xb14925c2a470a2410a30f4a052a16700f0c167d8,2229.501343,0.2839,,"Thu, 07 Sep 2023 00:00:00 GMT",Wed Sep 21 2022,,,
0xcb53bb0a7086363b7b962a2a5a877fcdcc76555a,2171.174937,0.2765,,"Thu, 07 Sep 2023 00:00:00 GMT",Fri Sep 16 2022,,,
0x7123df3d6f6813737cc033659084ee834b12ec7b,2155.502539,0.2745,,"Thu, 14 Sep 2023 00:00:00 GMT",Fri Sep 16 2022,,,
0x1b40953944a0d0a1628642b1a1d773db5799057c,2115.619163,0.2694,,"Thu, 05 Oct 2023 00:00:00 GMT",Mon Oct 31 2022,,,
0xb173e5d2eb505181f005cf457926453725d9a26d,2081.939663,0.2651,,"Thu, 17 Aug 2023 00:00:00 GMT",Thu Sep 22 2022,,,
0x5b39829b09a1b81e920a0c514a46a390cb0aa4cb,2029.421507,0.2584,,"Thu, 17 Aug 2023 00:00:00 GMT",Sun Sep 25 2022,,,
0x8bf3218b944cb6291adff26dc4f36e8b7453a518,2014.924946,0.2566,,"Thu, 21 Sep 2023 00:00:00 GMT",Thu Sep 29 2022,,,
0x7f6f11fe804622f546c9e925f11e073d217321a7,1965.879336,0.2503,,"Thu, 19 Oct 2023 00:00:00 GMT",Thu Oct 20 2022,,,
0xfd6e577bc642238e1e091432eec1a9f83fbbe03b,1746.263519,0.2224,,"Thu, 12 Oct 2023 00:00:00 GMT",Fri Oct 21 2022,,,
0xa2091aa24bf43649dc11f46a4034d5602173df05,1684.280179,0.2145,,"Thu, 31 Aug 2023 00:00:00 GMT",Thu Sep 15 2022,,,
0x5821a1b92940a25a123852946de51b600e69e34f,1672.439611,0.213,,"Thu, 26 Oct 2023 00:00:00 GMT",Wed Oct 26 2022,,,
0x66184928f9ed4deb086da37ed0e51c1041514ee3,1645.596422,0.2096,,"Thu, 31 Aug 2023 00:00:00 GMT",Tue Oct 11 2022,,,
0x37e014215902ba306da13464a613f2e38578a6d0,1534.6447,0.1954,,"Thu, 19 Oct 2023 00:00:00 GMT",Thu Oct 27 2022,,,
0xb565d5c50d9477e99eaf4cc03b904326f673030e,1532.00422,0.1951,,"Thu, 28 Sep 2023 00:00:00 GMT",Fri Sep 30 2022,,,
0x28acc5e98fc5fdb00bc3ae998e50ade500206e8a,1496.633575,0.1906,,"Thu, 07 Sep 2023 00:00:00 GMT",Thu Sep 08 2022,,,
0x00426ec496d6aeac556fbd3e1e00a307ab7f5211,1488.972439,0.1896,,"Thu, 17 Aug 2023 00:00:00 GMT",Thu Sep 15 2022,,,
0xc14123749de3a0a8ecab775f2bb11b9c5db5e6eb,1409.637889,0.1795,,"Thu, 17 Aug 2023 00:00:00 GMT",Thu Oct 27 2022,,,
0xd13a06e565f0409017e89d057a289bdc433d6da1,1334.488603,0.1699,,"Thu, 24 Aug 2023 00:00:00 GMT",Fri Oct 07 2022,,,
0xb0c4b5f561147b63cfa81f502113c18a8b8c8643,1306.842767,0.1664,,"Thu, 10 Aug 2023 00:00:00 GMT",Wed Nov 02 2022,,,
0xa81a1a69738e26cb847114fa17e2f2b40fb12cf4,1256.826295,0.16,,"Thu, 21 Sep 2023 00:00:00 GMT",Fri Sep 23 2022,,,
0xc2aa39a914c55b1d86aac2d41cc09e15ba28adc8,1215.046419,0.1547,,"Thu, 19 Oct 2023 00:00:00 GMT",Wed Oct 26 2022,,,
0x65cc0a1a964a60b26f402b737762f41424bb2c0e,1193.653951,0.152,,"Thu, 05 Oct 2023 00:00:00 GMT",Wed Oct 19 2022,,,
